=== PING TEST TO 144.6.184.1 ===
Timestamp: 2026-01-09 10:19:49
Test duration: 50 packets

PING 144.6.184.1 (144.6.184.1) 56(84) bytes of data.
64 bytes from 144.6.184.1: icmp_seq=1 ttl=254 time=12.8 ms
64 bytes from 144.6.184.1: icmp_seq=2 ttl=254 time=5.85 ms
64 bytes from 144.6.184.1: icmp_seq=3 ttl=254 time=15.4 ms
64 bytes from 144.6.184.1: icmp_seq=4 ttl=254 time=8.98 ms
64 bytes from 144.6.184.1: icmp_seq=5 ttl=254 time=10.1 ms
64 bytes from 144.6.184.1: icmp_seq=6 ttl=254 time=11.9 ms
64 bytes from 144.6.184.1: icmp_seq=7 ttl=254 time=14.4 ms
64 bytes from 144.6.184.1: icmp_seq=8 ttl=254 time=11.1 ms
64 bytes from 144.6.184.1: icmp_seq=9 ttl=254 time=7.87 ms
64 bytes from 144.6.184.1: icmp_seq=10 ttl=254 time=7.49 ms
64 bytes from 144.6.184.1: icmp_seq=11 ttl=254 time=9.17 ms
64 bytes from 144.6.184.1: icmp_seq=12 ttl=254 time=5.56 ms
64 bytes from 144.6.184.1: icmp_seq=13 ttl=254 time=8.15 ms
64 bytes from 144.6.184.1: icmp_seq=14 ttl=254 time=9.99 ms
64 bytes from 144.6.184.1: icmp_seq=15 ttl=254 time=9.61 ms
64 bytes from 144.6.184.1: icmp_seq=16 ttl=254 time=9.55 ms
64 bytes from 144.6.184.1: icmp_seq=17 ttl=254 time=16.2 ms
64 bytes from 144.6.184.1: icmp_seq=18 ttl=254 time=8.03 ms
64 bytes from 144.6.184.1: icmp_seq=19 ttl=254 time=7.77 ms
64 bytes from 144.6.184.1: icmp_seq=20 ttl=254 time=11.5 ms
64 bytes from 144.6.184.1: icmp_seq=21 ttl=254 time=11.1 ms
64 bytes from 144.6.184.1: icmp_seq=22 ttl=254 time=10.1 ms
64 bytes from 144.6.184.1: icmp_seq=23 ttl=254 time=11.0 ms
64 bytes from 144.6.184.1: icmp_seq=24 ttl=254 time=14.7 ms
64 bytes from 144.6.184.1: icmp_seq=25 ttl=254 time=14.1 ms
64 bytes from 144.6.184.1: icmp_seq=26 ttl=254 time=16.6 ms
64 bytes from 144.6.184.1: icmp_seq=27 ttl=254 time=9.30 ms
64 bytes from 144.6.184.1: icmp_seq=28 ttl=254 time=12.9 ms
64 bytes from 144.6.184.1: icmp_seq=29 ttl=254 time=8.67 ms
64 bytes from 144.6.184.1: icmp_seq=30 ttl=254 time=9.89 ms
64 bytes from 144.6.184.1: icmp_seq=31 ttl=254 time=14.7 ms
64 bytes from 144.6.184.1: icmp_seq=32 ttl=254 time=15.2 ms
64 bytes from 144.6.184.1: icmp_seq=33 ttl=254 time=39.8 ms
64 bytes from 144.6.184.1: icmp_seq=34 ttl=254 time=12.1 ms
64 bytes from 144.6.184.1: icmp_seq=35 ttl=254 time=19.1 ms
64 bytes from 144.6.184.1: icmp_seq=36 ttl=254 time=12.6 ms
64 bytes from 144.6.184.1: icmp_seq=37 ttl=254 time=12.8 ms
64 bytes from 144.6.184.1: icmp_seq=38 ttl=254 time=14.9 ms
64 bytes from 144.6.184.1: icmp_seq=39 ttl=254 time=13.1 ms
64 bytes from 144.6.184.1: icmp_seq=40 ttl=254 time=9.94 ms
64 bytes from 144.6.184.1: icmp_seq=41 ttl=254 time=12.2 ms
64 bytes from 144.6.184.1: icmp_seq=42 ttl=254 time=15.2 ms
64 bytes from 144.6.184.1: icmp_seq=43 ttl=254 time=10.8 ms
64 bytes from 144.6.184.1: icmp_seq=44 ttl=254 time=9.01 ms
64 bytes from 144.6.184.1: icmp_seq=45 ttl=254 time=12.5 ms
64 bytes from 144.6.184.1: icmp_seq=46 ttl=254 time=10.8 ms
64 bytes from 144.6.184.1: icmp_seq=47 ttl=254 time=11.2 ms
64 bytes from 144.6.184.1: icmp_seq=48 ttl=254 time=11.1 ms
64 bytes from 144.6.184.1: icmp_seq=49 ttl=254 time=12.2 ms
64 bytes from 144.6.184.1: icmp_seq=50 ttl=254 time=10.2 ms

--- 144.6.184.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49053ms
rtt min/avg/max/mdev = 5.560/11.987/39.788/4.864 ms

=== END PING TEST ===

