=== PING TEST TO 208.67.222.222 ===
Timestamp: 2026-01-07 15:57:48
Test duration: 50 packets

PING 208.67.222.222 (208.67.222.222) 56(84) bytes of data.
64 bytes from 208.67.222.222: icmp_seq=3 ttl=60 time=28.7 ms
64 bytes from 208.67.222.222: icmp_seq=4 ttl=60 time=25.8 ms
64 bytes from 208.67.222.222: icmp_seq=5 ttl=60 time=14.6 ms
64 bytes from 208.67.222.222: icmp_seq=8 ttl=60 time=26.9 ms
64 bytes from 208.67.222.222: icmp_seq=11 ttl=60 time=11.3 ms
64 bytes from 208.67.222.222: icmp_seq=12 ttl=60 time=42.0 ms
64 bytes from 208.67.222.222: icmp_seq=19 ttl=60 time=7.97 ms
64 bytes from 208.67.222.222: icmp_seq=21 ttl=60 time=14.5 ms
64 bytes from 208.67.222.222: icmp_seq=22 ttl=60 time=8.24 ms
64 bytes from 208.67.222.222: icmp_seq=23 ttl=60 time=17.8 ms
64 bytes from 208.67.222.222: icmp_seq=24 ttl=60 time=7.96 ms
64 bytes from 208.67.222.222: icmp_seq=25 ttl=60 time=10.6 ms
64 bytes from 208.67.222.222: icmp_seq=26 ttl=60 time=8.66 ms
