=== PING TEST TO 1.1.1.1 ===
Timestamp: 2026-01-09 10:19:49
Test duration: 50 packets

PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=59 time=5.07 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=59 time=6.04 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=59 time=8.73 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=59 time=9.24 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=59 time=9.51 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=59 time=8.62 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=59 time=9.26 ms
64 bytes from 1.1.1.1: icmp_seq=8 ttl=59 time=10.3 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=59 time=12.4 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=59 time=13.2 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=59 time=8.23 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=59 time=9.31 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=59 time=13.2 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=59 time=15.0 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=59 time=13.0 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=59 time=12.2 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=59 time=14.4 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=59 time=10.2 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=59 time=10.5 ms
64 bytes from 1.1.1.1: icmp_seq=20 ttl=59 time=13.1 ms
64 bytes from 1.1.1.1: icmp_seq=21 ttl=59 time=13.2 ms
64 bytes from 1.1.1.1: icmp_seq=22 ttl=59 time=13.6 ms
64 bytes from 1.1.1.1: icmp_seq=23 ttl=59 time=13.1 ms
64 bytes from 1.1.1.1: icmp_seq=24 ttl=59 time=14.3 ms
64 bytes from 1.1.1.1: icmp_seq=25 ttl=59 time=14.4 ms
64 bytes from 1.1.1.1: icmp_seq=26 ttl=59 time=12.6 ms
64 bytes from 1.1.1.1: icmp_seq=27 ttl=59 time=15.1 ms
64 bytes from 1.1.1.1: icmp_seq=28 ttl=59 time=12.1 ms
64 bytes from 1.1.1.1: icmp_seq=29 ttl=59 time=12.1 ms
64 bytes from 1.1.1.1: icmp_seq=30 ttl=59 time=14.1 ms
64 bytes from 1.1.1.1: icmp_seq=31 ttl=59 time=10.0 ms
64 bytes from 1.1.1.1: icmp_seq=32 ttl=59 time=15.3 ms
64 bytes from 1.1.1.1: icmp_seq=33 ttl=59 time=8.89 ms
64 bytes from 1.1.1.1: icmp_seq=34 ttl=59 time=8.39 ms
64 bytes from 1.1.1.1: icmp_seq=35 ttl=59 time=8.47 ms
64 bytes from 1.1.1.1: icmp_seq=36 ttl=59 time=8.34 ms
64 bytes from 1.1.1.1: icmp_seq=37 ttl=59 time=7.58 ms
64 bytes from 1.1.1.1: icmp_seq=38 ttl=59 time=8.08 ms
64 bytes from 1.1.1.1: icmp_seq=39 ttl=59 time=7.78 ms
64 bytes from 1.1.1.1: icmp_seq=40 ttl=59 time=11.2 ms
64 bytes from 1.1.1.1: icmp_seq=41 ttl=59 time=12.9 ms
64 bytes from 1.1.1.1: icmp_seq=42 ttl=59 time=12.1 ms
64 bytes from 1.1.1.1: icmp_seq=43 ttl=59 time=10.8 ms
64 bytes from 1.1.1.1: icmp_seq=44 ttl=59 time=9.89 ms
64 bytes from 1.1.1.1: icmp_seq=45 ttl=59 time=11.9 ms
64 bytes from 1.1.1.1: icmp_seq=46 ttl=59 time=9.82 ms
64 bytes from 1.1.1.1: icmp_seq=47 ttl=59 time=10.1 ms
64 bytes from 1.1.1.1: icmp_seq=48 ttl=59 time=9.27 ms
64 bytes from 1.1.1.1: icmp_seq=49 ttl=59 time=11.2 ms
64 bytes from 1.1.1.1: icmp_seq=50 ttl=59 time=9.21 ms

--- 1.1.1.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49054ms
rtt min/avg/max/mdev = 5.065/10.942/15.308/2.445 ms

=== END PING TEST ===

