=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 15:36:00
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.360 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.594 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.447 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.419 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.362 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.241 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.280 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.266 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.313 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.307 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.250 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.274 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.552 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.333 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.330 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.228 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.324 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.483 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.257 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.275 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.240 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.270 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.444 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.341 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.379 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.402 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.393 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.323 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.371 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.366 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.379 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.294 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.453 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.239 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.356 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.391 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.241 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.504 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.296 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.324 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.373 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.402 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.417 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.325 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.336 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.308 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.344 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.338 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.294 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.294 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50068ms
rtt min/avg/max/mdev = 0.228/0.346/0.594/0.080 ms

=== END PING TEST ===

