=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 15:43:54
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.344 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.247 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.273 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.424 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.260 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.248 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.273 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.255 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.396 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.271 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.326 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.250 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.259 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.461 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.303 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.282 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.305 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.274 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.410 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.288 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.278 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.309 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.283 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.242 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.364 ms
64 bytes from 192.168.20.1: icmp_seq=26 ttl=64 time=0.331 ms
64 bytes from 192.168.20.1: icmp_seq=27 ttl=64 time=0.318 ms
64 bytes from 192.168.20.1: icmp_seq=28 ttl=64 time=0.547 ms
64 bytes from 192.168.20.1: icmp_seq=29 ttl=64 time=0.386 ms
64 bytes from 192.168.20.1: icmp_seq=30 ttl=64 time=0.252 ms
64 bytes from 192.168.20.1: icmp_seq=31 ttl=64 time=0.288 ms
64 bytes from 192.168.20.1: icmp_seq=32 ttl=64 time=0.292 ms
64 bytes from 192.168.20.1: icmp_seq=33 ttl=64 time=0.312 ms
64 bytes from 192.168.20.1: icmp_seq=34 ttl=64 time=0.421 ms
64 bytes from 192.168.20.1: icmp_seq=35 ttl=64 time=0.349 ms
64 bytes from 192.168.20.1: icmp_seq=36 ttl=64 time=0.359 ms
64 bytes from 192.168.20.1: icmp_seq=37 ttl=64 time=0.332 ms
64 bytes from 192.168.20.1: icmp_seq=38 ttl=64 time=0.333 ms
64 bytes from 192.168.20.1: icmp_seq=39 ttl=64 time=0.328 ms
64 bytes from 192.168.20.1: icmp_seq=40 ttl=64 time=0.379 ms
64 bytes from 192.168.20.1: icmp_seq=41 ttl=64 time=0.356 ms
64 bytes from 192.168.20.1: icmp_seq=42 ttl=64 time=0.357 ms
64 bytes from 192.168.20.1: icmp_seq=43 ttl=64 time=0.351 ms
64 bytes from 192.168.20.1: icmp_seq=44 ttl=64 time=0.364 ms
64 bytes from 192.168.20.1: icmp_seq=45 ttl=64 time=0.329 ms
64 bytes from 192.168.20.1: icmp_seq=46 ttl=64 time=0.327 ms
64 bytes from 192.168.20.1: icmp_seq=47 ttl=64 time=0.328 ms
64 bytes from 192.168.20.1: icmp_seq=48 ttl=64 time=0.296 ms
64 bytes from 192.168.20.1: icmp_seq=49 ttl=64 time=0.268 ms
64 bytes from 192.168.20.1: icmp_seq=50 ttl=64 time=0.215 ms

--- 192.168.20.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50168ms
rtt min/avg/max/mdev = 0.215/0.320/0.547/0.062 ms

=== END PING TEST ===

